run_id,primary_type,q_order,primary_depth,candidate_method,validation_accuracy,test_accuracy,delta_vs_fallback,delta_vs_previous_depth,structural_delta_vs_random,lift_implemented,relation_set_id,aggregation_level
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,8,3,primary_C8_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,8,3,primary_C8_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,8,3,primary_C8_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,16,4,primary_C16_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,16,4,primary_C16_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,16,4,primary_C16_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,32,5,primary_C32_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,32,5,primary_C32_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,2-primary,32,5,primary_C32_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,3,1,primary_C3_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,3,1,primary_C3_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,3,1,primary_C3_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,9,2,primary_C9_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,9,2,primary_C9_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,9,2,primary_C9_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,27,3,primary_C27_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,27,3,primary_C27_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,3-primary,27,3,primary_C27_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,fallback,1,0,best_fallback,0.848,0.8245,0.0,0.0,,True,,
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,6,1,mixed_C6_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,6,1,mixed_C6_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,6,1,mixed_C6_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,12,2,mixed_C12_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,12,2,mixed_C12_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,12,2,mixed_C12_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,18,2,mixed_C18_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,18,2,mixed_C18_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,18,2,mixed_C18_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,36,2,mixed_C36_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,36,2,mixed_C36_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4202,mixed,36,2,mixed_C36_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,2,1,primary_C2_branch_lift,0.8395,0.821,-0.0035000000000000586,,0.0034999999999999476,True,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,2,1,primary_C2_branch_lift,0.8395,0.821,-0.0035000000000000586,0.0,0.0034999999999999476,True,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,2,1,primary_C2_branch_lift,0.8395,0.821,-0.0035000000000000586,0.0,0.0034999999999999476,True,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,4,2,primary_C4_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,4,2,primary_C4_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,4,2,primary_C4_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,8,3,primary_C8_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,8,3,primary_C8_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,8,3,primary_C8_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,16,4,primary_C16_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,16,4,primary_C16_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,16,4,primary_C16_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,32,5,primary_C32_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,32,5,primary_C32_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,2-primary,32,5,primary_C32_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,3,1,primary_C3_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,3,1,primary_C3_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,3,1,primary_C3_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,9,2,primary_C9_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,9,2,primary_C9_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,9,2,primary_C9_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,27,3,primary_C27_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,27,3,primary_C27_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,3-primary,27,3,primary_C27_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,fallback,1,0,best_fallback,0.849,0.8245,0.0,0.0,,True,,
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,6,1,mixed_C6_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,6,1,mixed_C6_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,6,1,mixed_C6_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,12,2,mixed_C12_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,12,2,mixed_C12_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,12,2,mixed_C12_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,18,2,mixed_C18_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,18,2,mixed_C18_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,18,2,mixed_C18_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,36,2,mixed_C36_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,36,2,mixed_C36_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4203,mixed,36,2,mixed_C36_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,2,1,primary_C2_branch_lift,0.8475,0.8235,-0.0004999999999999449,,0.0025000000000000577,True,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,2,1,primary_C2_branch_lift,0.8475,0.8235,-0.0004999999999999449,0.0,0.0025000000000000577,True,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,2,1,primary_C2_branch_lift,0.8475,0.8235,-0.0004999999999999449,0.0,0.0025000000000000577,True,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,4,2,primary_C4_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,4,2,primary_C4_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,4,2,primary_C4_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,8,3,primary_C8_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,8,3,primary_C8_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,8,3,primary_C8_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,16,4,primary_C16_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,16,4,primary_C16_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,16,4,primary_C16_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,32,5,primary_C32_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,32,5,primary_C32_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,2-primary,32,5,primary_C32_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,3,1,primary_C3_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,3,1,primary_C3_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,3,1,primary_C3_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,9,2,primary_C9_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,9,2,primary_C9_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,9,2,primary_C9_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,27,3,primary_C27_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,27,3,primary_C27_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,3-primary,27,3,primary_C27_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,fallback,1,0,best_fallback,0.849,0.824,0.0,0.0,,True,,
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,6,1,mixed_C6_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,6,1,mixed_C6_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,6,1,mixed_C6_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,12,2,mixed_C12_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,12,2,mixed_C12_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,12,2,mixed_C12_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,18,2,mixed_C18_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,18,2,mixed_C18_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,18,2,mixed_C18_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,36,2,mixed_C36_branch_lift,,,,,,False,run::fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,run_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,36,2,mixed_C36_branch_lift,,,,,,False,setting::fashion_mnist_mlp_N3_W64_none_monomial_activation,setting_id
fashion_mnist_mlp_N3_W64_none_monomial_activation_seed4204,mixed,36,2,mixed_C36_branch_lift,,,,,,False,pooled::fashion_mnist::N3::W64::monomial_activation,pooled_dataset_model_width_matching
